date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.031151,0,3115083.0
2020-12-13,0,0,0,0.031267,0,3126749.0
2020-12-12,0,0,0,0.030604,0,3060387.0
2020-12-11,0,0,0,0.02987,0,2986962.0
2020-12-10,0,0,0,0.030313,0,3031274.0
2020-12-09,0,0,0,0.030756,0,3075572.0
2020-12-08,0,0,0,0.030147,0,3014693.0
2020-12-07,0,0,0,0.031348,0,3134795.0
2020-12-06,0,0,0,0.031669,0,3166875.0
2020-12-05,0,0,0,0.031495,0,3149452.0
2020-12-04,0,0,0,0.030626,0,3062620.0
2020-12-03,0,0,0,0.032147,0,3214689.0
2020-12-02,0,0,0,0.031556,0,3155633.0
2020-12-01,0,0,0,0.031217,0,3121724.0
2020-11-30,0,0,0,0.032076,0,3207568.0
2020-11-29,0,0,0,0.030837,0,3083656.0
2020-11-28,0,0,0,0.029639,0,2963859.0
2020-11-27,0,0,0,0.028972,0,2897206.0
2020-11-26,0,0,0,0.029021,0,2902086.0
2020-11-25,0,0,0,0.030667,0,3066706.0
2020-11-24,0,0,0,0.03172,0,3171971.0
2020-11-23,0,0,0,0.031845,0,3184487.0
2020-11-22,0,0,0,0.03025,0,3024963.0
2020-11-21,0,0,0,0.029969,0,2996925.0
2020-11-20,0,0,0,0.028718,0,2871785.0
2020-11-19,0,0,0,0.027502,0,2750231.0
2020-11-18,0,0,0,0.027747,0,2774684.0
2020-11-17,0,0,0,0.027781,0,2778134.0
2020-11-16,0,0,0,0.027122,0,2712216.0
2020-11-15,0,0,0,0.02673,0,2672999.0
2020-11-14,0,0,0,0.027128,0,2712769.0
2020-11-13,0,0,0,0.027592,0,2759237.0
2020-11-12,0,0,0,0.027158,0,2715836.0
2020-11-11,0,0,0,0.027227,0,2722708.0
2020-11-10,0,0,0,0.026805,0,2680464.0
2020-11-09,0,0,0,0.026622,0,2662204.0
2020-11-08,0,0,0,0.026927,0,2692704.0
2020-11-07,0,0,0,0.026374,0,2637388.0
2020-11-06,0,0,0,0.026947,0,2694664.0
2020-11-05,0,0,0,0.025656,0,2565555.0
2020-11-04,0,0,0,0.025282,0,2528156.0
2020-11-03,0,0,0,0.024814,0,2481357.0
2020-11-02,0,0,0,0.024521,0,2452072.0
2020-11-01,0,0,0,0.022708,0,2270785.0
2020-10-31,0,0,0,0.024169,0,2416858.0
2020-10-30,0,0,0,0.0218,0,2180045.0
2020-10-29,0,0,0,0.020065,0,2006525.0
2020-10-28,0,0,0,0.020655,0,2065500.0
2020-10-27,0,0,0,0.020004,0,2000446.0
2020-10-26,0,0,0,0.019908,0,1990821.0
2020-10-25,0,0,0,0.020708,0,2070818.0
2020-10-24,0,0,0,0.020452,0,2045228.0
2020-10-23,0,0,0,0.023315,0,2331530.0
2020-10-22,0,0,0,0.02787,0,2787028.0
2020-10-21,0,0,0,0.025434,0,2543427.0
2020-10-20,0,0,0,0.023323,0,2332296.0
2020-10-19,0,0,0,0.030026,0,3002559.0
2020-10-18,0,0,0,0.02509,0,2509014.0
2020-10-17,0,0,0,0.030096,0,3009632.0
2020-10-16,0,0,0,0.031433,0,3143288.0
2020-10-15,0,0,0,0.029724,0,2972365.0
2020-10-14,0,0,0,0.029626,0,2962552.0
2020-10-13,0,0,0,0.027789,0,2778851.0
2020-10-12,0,0,0,0.028027,0,2802662.0
2020-10-11,0,0,0,0.028121,0,2812064.0
2020-10-10,0,0,0,0.027893,0,2789322.0
2020-10-09,0,0,0,0.047999,0,4799926.0
2020-10-08,0,0,0,0.029136,0,2913644.0
2020-10-07,0,0,0,0.032023,0,3202264.0
2020-10-06,0,0,0,0.022835,0,2283465.0
2020-10-05,0,0,0,0.03188,0,3187985.0
2020-10-04,0,0,0,0.029039,0,2903942.0
2020-10-03,0,0,0,0.028689,0,2868878.0
2020-10-02,0,0,0,0.027229,0,2722853.0
2020-10-01,0,0,0,0.030375,0,3037495.0
2020-09-30,0,0,0,0.030049,0,3004948.0
2020-09-29,0,0,0,0.040945,0,4094504.0
2020-09-28,0,0,0,0.0354,0,3539996.0
2020-09-27,0,0,0,0.033084,0,3308392.0
2020-09-26,0,0,0,0.033374,0,3337363.0
2020-09-25,0,0,0,0.027741,0,2774065.0
2020-09-24,0,0,0,0.027735,0,2773513.0
2020-09-23,0,0,0,0.029438,0,2943806.0
2020-09-22,0,0,0,0.027867,0,2786678.0
2020-09-21,0,0,0,0.032151,0,3215079.0
2020-09-20,0,0,0,0.027851,0,2785070.0
2020-09-19,0,0,0,0.033383,0,3338301.0
2020-09-18,0,0,0,0.038482,0,3848237.0
2020-09-17,0,0,0,0.033105,0,3310515.0
2020-09-16,0,0,0,0.027799,0,2779927.0
2020-09-15,0,0,0,0.030285,0,3028474.0
2020-09-14,0,0,0,0.029949,0,2994893.0
2020-09-13,0,0,0,0.029688,0,2968814.0
2020-09-12,0,0,0,0.029764,0,2976392.0
2020-09-11,0,0,0,0.029836,0,2983626.0
2020-09-10,0,0,0,0.028239,0,2823851.0
2020-09-09,0,0,0,0.023454,0,2345443.0
2020-09-08,0,0,0,0.023439,0,2343862.0
2020-09-07,0,0,0,0.023433,0,2343340.0
2020-09-06,0,0,0,0.024233,0,2423311.0
2020-09-05,0,0,0,0.026885,0,2688472.0
2020-09-04,0,0,0,0.029011,0,2901078.0
2020-09-03,0,0,0,0.030821,0,3082082.0
